"GROUP","F_TEST","AD_TEST","SHAPIRO_TEST","BONETT_TEST","T_TEST","GEARY"
"A2-E2","4.47e-01","3.56e-01","4.17e-01","8.36e-01","6.54e-01","8.08e-01"
"A3-E3","9.04e-01","4.16e-01","5.59e-01","7.31e-01","2.34e-03","8.15e-01"
"A4-E4","8.99e-01","2.16e-01","1.63e-01","7.62e-01","5.65e-02","8.13e-01"
"A5-E5","6.95e-01","9.32e-02","9.73e-02","9.63e-01","1.55e-01","8.00e-01"
"A6-E6","5.15e-01","9.15e-04","3.57e-03","7.68e-01","7.11e-01","8.13e-01"
"A7-E7","4.79e-01","5.74e-01","3.85e-01","5.93e-01","9.09e-01","8.25e-01"
"A8-E8","7.83e-01","5.15e-02","7.71e-02","9.47e-01","6.41e-01","8.01e-01"
"B2-F2","8.29e-01","3.18e-02","5.48e-02","1.48e-02","1.41e-02","9.30e-01"
"B3-F3","5.24e-01","1.28e-02","1.10e-02","1.71e-02","9.72e-02","9.27e-01"
"B4-F4","8.93e-01","2.31e-02","2.76e-02","2.67e-02","1.46e-01","9.17e-01"
"B5-F5","6.59e-01","1.09e-01","1.03e-01","3.53e-01","5.61e-01","8.46e-01"
"B6-F6","5.17e-01","2.85e-01","1.62e-01","1.23e-01","6.02e-01","8.79e-01"
"B7-F7","6.53e-01","1.54e-01","2.53e-01","6.00e-01","4.38e-01","7.72e-01"
"B8-F8","6.11e-01","6.54e-01","6.19e-01","9.33e-01","2.59e-02","8.02e-01"
"C2-G2","3.79e-01","6.39e-01","6.53e-01","5.52e-01","8.16e-06","8.28e-01"
"C3-G3","6.16e-01","6.03e-01","3.74e-01","5.91e-01","3.58e-03","8.25e-01"
"C4-G4","1.51e-01","5.25e-01","4.40e-01","2.18e-01","1.84e-02","8.62e-01"
"C5-G5","2.61e-01","1.56e-01","1.25e-01","1.91e-02","1.41e-02","9.24e-01"
"C6-G6","2.51e-01","1.03e-01","1.32e-01","1.39e-01","5.98e-02","8.76e-01"
"C7-G7","6.96e-01","3.27e-01","3.06e-01","5.52e-01","7.04e-01","8.28e-01"
"C8-G8","7.90e-01","1.44e-01","1.11e-01","1.23e-01","3.90e-01","8.79e-01"
"D2-H2","8.83e-01","9.13e-01","8.51e-01","9.26e-01","7.72e-01","8.03e-01"
"D3-H3","8.62e-01","5.19e-01","3.73e-01","1.73e-01","1.86e-01","8.69e-01"
"D4-H4","8.24e-01","2.48e-01","1.69e-01","9.80e-02","8.08e-01","8.85e-01"
"D5-H5","1.59e-01","4.17e-01","4.21e-01","1.19e-01","8.58e-01","8.80e-01"
"D6-H6","5.41e-01","9.07e-01","8.70e-01","3.58e-01","3.26e-01","8.45e-01"
"D7-H7","4.40e-01","6.41e-01","4.72e-01","1.63e-01","9.65e-01","8.71e-01"
"D8-H8","8.77e-01","4.60e-01","5.20e-01","6.45e-02","9.50e-01","8.96e-01"
