"GROUP","F_TEST","AD_TEST","SHAPIRO_TEST","BONETT_TEST","GEARY"
"A2-E2","9.03e-01","1.18e-01","1.37e-01","1.28e-01","8.78e-01"
"A3-E3","7.90e-01","4.21e-02","4.36e-02","3.59e-01","7.53e-01"
"A4-E4","5.14e-01","3.99e-01","3.34e-01","9.01e-01","8.04e-01"
"A5-E5","2.67e-01","1.74e-01","1.38e-01","3.94e-01","7.56e-01"
"A6-E6","5.54e-01","8.19e-02","7.78e-02","5.85e-01","7.71e-01"
"A7-E7","2.75e-01","6.13e-01","8.61e-01","3.15e-01","7.49e-01"
"A8-E8","9.70e-01","5.64e-01","7.38e-01","5.94e-01","7.72e-01"
"B2-F2","6.63e-01","6.85e-02","1.01e-01","7.98e-02","8.91e-01"
"B3-F3","8.33e-01","1.68e-01","3.46e-01","6.17e-01","8.23e-01"
"B4-F4","8.17e-01","1.28e-01","9.18e-02","8.22e-01","7.87e-01"
"B5-F5","1.90e-01","3.98e-01","3.49e-01","4.28e-01","8.39e-01"
"B6-F6","9.62e-01","6.92e-01","8.48e-01","2.61e-01","7.44e-01"
"B7-F7","7.40e-01","2.47e-01","1.31e-01","2.77e-01","8.54e-01"
"B8-F8","8.36e-01","5.58e-02","6.65e-02","7.28e-01","7.81e-01"
"C2-G2","3.50e-01","9.26e-01","9.49e-01","6.21e-01","8.23e-01"
"C3-G3","1.97e-01","9.94e-01","9.97e-01","6.89e-01","8.18e-01"
"C4-G4","4.47e-01","3.61e-03","1.11e-02","1.18e-03","6.51e-01"
"C5-G5","1.62e-01","4.27e-01","7.17e-01","1.62e-01","7.31e-01"
"C6-G6","2.42e-01","7.55e-02","3.91e-02","7.35e-01","7.81e-01"
"C7-G7","5.78e-01","2.47e-01","1.94e-01","1.93e-01","8.66e-01"
"C8-G8","3.47e-02","3.32e-01","2.61e-01","6.66e-01","8.20e-01"
"D2-H2","6.13e-01","5.17e-01","6.42e-01","3.93e-01","7.56e-01"
"D3-H3","3.20e-01","1.72e-01","1.18e-01","3.08e-01","8.51e-01"
"D4-H4","5.39e-01","3.56e-01","2.21e-01","5.66e-01","7.70e-01"
"D5-H5","1.06e-01","1.13e-02","9.14e-03","3.93e-04","6.39e-01"
"D6-H6","3.55e-01","3.63e-02","1.36e-02","4.42e-01","7.60e-01"
"D7-H7","1.50e-01","4.63e-01","8.13e-01","7.70e-01","7.83e-01"
"D8-H8","1.24e-01","9.22e-01","9.62e-01","9.99e-01","7.98e-01"
