"ROW_GROUP","F_TEST","GT_A_FT","WILCOXON_TEST","GT_A_WX","T_TEST","GT_A_TT"
"A2 - E2","5.92e-01",TRUE,"1.30e-01",TRUE,"1.08e-01",TRUE
"A3 - E3","5.22e-01",TRUE,"1.61e-01",TRUE,"1.73e-01",TRUE
"A4 - E4","6.62e-01",TRUE,"4.99e-02",FALSE,"4.92e-02",FALSE
"A5 - E5","8.89e-01",TRUE,"2.79e-01",TRUE,"1.99e-01",TRUE
"A6 - E6","8.70e-01",TRUE,"8.30e-02",TRUE,"9.94e-02",TRUE
"A7 - E7","8.43e-01",TRUE,"1.30e-01",TRUE,"1.27e-01",TRUE
"A8 - E8","8.70e-01",TRUE,"2.81e-02",FALSE,"5.19e-02",TRUE
"B2 - F2","5.85e-01",TRUE,"3.28e-01",TRUE,"3.21e-01",TRUE
"B3 - F3","6.82e-01",TRUE,"3.82e-01",TRUE,"1.32e-01",TRUE
"B4 - F4","4.71e-01",TRUE,"2.79e-01",TRUE,"1.25e-01",TRUE
"B5 - F5","4.25e-01",TRUE,"2.34e-01",TRUE,"1.15e-01",TRUE
"B6 - F6","1.30e-01",TRUE,"1.30e-01",TRUE,"1.49e-01",TRUE
"B7 - F7","1.84e-01",TRUE,"1.30e-01",TRUE,"6.64e-02",TRUE
"B8 - F8","3.85e-01",TRUE,"1.30e-01",TRUE,"9.56e-02",TRUE
"C2 - G2","8.99e-01",TRUE,"2.81e-02",FALSE,"2.80e-02",FALSE
"C3 - G3","9.36e-01",TRUE,"5.85e-02",TRUE,"3.91e-02",FALSE
"C4 - G4","8.48e-01",TRUE,"1.05e-01",TRUE,"6.83e-02",TRUE
"C5 - G5","7.94e-01",TRUE,"6.50e-02",TRUE,"5.89e-02",TRUE
"C6 - G6","7.74e-01",TRUE,"1.72e-01",TRUE,"1.40e-01",TRUE
"C7 - G7","9.64e-01",TRUE,"6.50e-02",TRUE,"7.03e-02",TRUE
"C8 - G8","6.60e-01",TRUE,"8.30e-02",TRUE,"5.63e-02",TRUE
"D2 - H2","5.91e-01",TRUE,"4.99e-02",FALSE,"2.44e-02",FALSE
"D3 - H3","8.42e-01",TRUE,"8.30e-02",TRUE,"5.74e-02",TRUE
"D4 - H4","7.44e-01",TRUE,"3.79e-02",FALSE,"2.34e-02",FALSE
"D5 - H5","3.59e-01",TRUE,"4.99e-02",FALSE,"5.81e-02",TRUE
"D6 - H6","9.52e-01",TRUE,"4.99e-02",FALSE,"2.74e-02",FALSE
"D7 - H7","7.39e-01",TRUE,"3.56e-02",FALSE,"3.97e-02",FALSE
"D8 - H8","8.57e-01",TRUE,"1.05e-01",TRUE,"6.72e-02",TRUE
