"ROW.GROUP","MEAN.O","MEAN.N","MIN.O","MIN.N","MAX.O","MAX.N","SD.O","SD.N","PCT.DIFF","CV.O","CV.N","REAGENT"
"A2-E2","3.12e+04","3.10e+04","2.62e+04","2.79e+04","3.49e+04","3.40e+04","3.02e+03","2.24e+03","1.41%","9.67e-02","7.21e-02","BV-421"
"A3-E3","3.35e+04","3.25e+04","3.06e+04","2.95e+04","3.62e+04","3.47e+04","1.94e+03","1.85e+03","5.66%","5.81e-02","5.70e-02","BV-421"
"A4-E4","3.37e+04","3.29e+04","2.98e+04","2.95e+04","3.63e+04","3.59e+04","2.17e+03","2.28e+03","5.09%","6.44e-02","6.95e-02","BV-421"
"A5-E5","3.35e+04","3.31e+04","2.99e+04","2.98e+04","3.59e+04","3.62e+04","1.89e+03","2.21e+03","2.69%","5.65e-02","6.67e-02","BV-421"
"A6-E6","3.36e+04","3.38e+04","2.97e+04","2.97e+04","3.53e+04","3.62e+04","1.92e+03","2.48e+03","0.81%","5.71e-02","7.35e-02","BV-421"
"A7-E7","3.41e+04","3.42e+04","3.19e+04","3.05e+04","3.68e+04","3.65e+04","1.77e+03","2.33e+03","0.33%","5.18e-02","6.83e-02","BV-421"
"A8-E8","3.47e+04","3.49e+04","3.03e+04","3.19e+04","3.74e+04","3.74e+04","2.27e+03","2.04e+03","1.06%","6.54e-02","5.84e-02","BV-421"
"B2-F2","8.27e+03","9.66e+03","7.20e+03","7.65e+03","1.03e+04","1.16e+04","1.20e+03","1.31e+03","33.69%","1.46e-01","1.36e-01","BUV-395"
"B3-F3","1.36e+04","1.48e+04","1.23e+04","1.22e+04","1.70e+04","1.69e+04","2.09e+03","1.62e+03","16.75%","1.53e-01","1.10e-01","BUV-395"
"B4-F4","2.06e+04","2.16e+04","1.85e+04","1.85e+04","2.46e+04","2.52e+04","2.45e+03","2.33e+03","9.62%","1.19e-01","1.08e-01","BUV-395"
"B5-F5","2.83e+04","2.86e+04","2.58e+04","2.53e+04","3.30e+04","3.22e+04","2.77e+03","2.33e+03","2.07%","9.79e-02","8.15e-02","BUV-395"
"B6-F6","3.52e+04","3.55e+04","3.26e+04","3.26e+04","3.96e+04","3.84e+04","2.73e+03","2.11e+03","2.14%","7.76e-02","5.95e-02","BUV-395"
"B7-F7","4.08e+04","4.02e+04","3.83e+04","3.69e+04","4.58e+04","4.34e+04","2.70e+03","2.26e+03","3.05%","6.61e-02","5.62e-02","BUV-395"
"B8-F8","4.52e+04","4.39e+04","4.18e+04","3.89e+04","4.84e+04","4.76e+04","2.37e+03","2.90e+03","5.8%","5.24e-02","6.60e-02","BUV-395"
"C2-G2","4.74e+03","6.11e+03","3.99e+03","5.11e+03","5.36e+03","7.16e+03","5.34e+02","7.56e+02","57.83%","1.13e-01","1.24e-01","BB-515"
"C3-G3","7.57e+03","9.16e+03","6.68e+03","7.64e+03","9.05e+03","1.05e+04","8.62e+02","1.05e+03","42.08%","1.14e-01","1.15e-01","BB-515"
"C4-G4","1.12e+04","1.28e+04","9.97e+03","9.67e+03","1.28e+04","1.55e+04","1.12e+03","2.00e+03","28.05%","9.99e-02","1.56e-01","BB-515"
"C5-G5","1.57e+04","1.74e+04","1.38e+04","1.35e+04","1.78e+04","1.98e+04","1.62e+03","2.53e+03","20.9%","1.03e-01","1.46e-01","BB-515"
"C6-G6","2.01e+04","1.87e+04","1.69e+04","1.58e+03","2.20e+04","2.39e+04","1.97e+03","7.50e+03","13.68%","9.79e-02","4.01e-01","BB-515"
"C7-G7","2.29e+04","2.33e+04","1.63e+04","1.98e+04","2.57e+04","2.70e+04","3.08e+03","2.65e+03","3.41%","1.35e-01","1.14e-01","BB-515"
"C8-G8","2.42e+04","2.26e+04","1.81e+04","1.50e+03","2.80e+04","2.87e+04","3.30e+03","8.97e+03","13.35%","1.36e-01","3.97e-01","BB-515"
"D2-H2","4.64e+04","4.66e+04","4.10e+04","4.11e+04","5.20e+04","5.13e+04","3.21e+03","3.40e+03","0.76%","6.92e-02","7.31e-02","PE"
"D3-H3","4.64e+04","4.70e+04","4.13e+04","4.22e+04","5.03e+04","5.07e+04","3.00e+03","3.22e+03","2.43%","6.47e-02","6.85e-02","PE"
"D4-H4","4.70e+04","4.69e+04","4.07e+04","4.17e+04","5.10e+04","5.09e+04","3.36e+03","3.66e+03","0.53%","7.14e-02","7.81e-02","PE"
"D5-H5","4.72e+04","4.73e+04","4.47e+04","4.24e+04","4.93e+04","5.09e+04","1.85e+03","3.26e+03","0.55%","3.93e-02","6.89e-02","PE"
"D6-H6","4.71e+04","4.79e+04","4.28e+04","4.38e+04","5.08e+04","5.32e+04","2.73e+03","3.47e+03","3.18%","5.79e-02","7.24e-02","PE"
"D7-H7","4.76e+04","4.76e+04","4.36e+04","4.23e+04","5.11e+04","5.15e+04","2.54e+03","3.45e+03","0.09%","5.34e-02","7.24e-02","PE"
"D8-H8","4.77e+04","4.78e+04","4.41e+04","4.27e+04","5.20e+04","5.21e+04","2.88e+03","3.06e+03","0.14%","6.04e-02","6.41e-02","PE"
