1,2,3,4,5,6,7,8,METHOD
0.375,0.369,0.369,0.354,0.36,0.366,0.366,0.366,8CHL
0.368,0.363,0.367,0.368,0.365,0.361,0.349,0.365,8CHL
0.37,0.344,0.354,0.346,0.344,0.349,0.35,0.336,8CHL
0.367,0.379,0.373,0.353,0.36,0.361,0.356,0.354,8CHL
0.372,0.372,0.37,0.371,0.366,0.369,0.366,0.358,8CHL
0.368,0.369,0.365,0.366,0.365,0.364,0.362,0.368,8CHL
0.372,0.34,0.381,0.361,0.468,0.371,0.36,0.372,8CHL
0.373,0.366,0.37,0.362,0.36,0.356,0.356,0.37,8CHL
0.336,0.343,0.34,0.345,0.351,0.344,0.348,0.328,8CHL
0.33,0.348,0.352,0.347,0.347,0.352,0.352,0.348,8CHL
0.331,0.341,0.342,0.347,0.345,0.345,0.35,0.358,8CHL
0.346,0.367,0.359,0.363,0.357,0.355,0.361,0.365,8CHL
0.344,0.359,0.375,0.365,0.36,0.358,0.363,0.364,8CHL
0.343,0.36,0.36,0.377,0.371,0.359,0.359,0.36,8CHL
0.339,0.348,0.347,0.345,0.397,0.377,0.342,0.352,8CHL
0.346,0.362,0.362,0.361,0.363,0.364,0.359,0.369,8CHL
0.326,0.328,0.349,0.358,0.351,0.35,0.352,0.355,8CHL
0.324,0.344,0.338,0.347,0.351,0.341,0.353,0.352,8CHL
0.33,0.337,0.344,0.347,0.349,0.347,0.343,0.348,8CHL
0.333,0.357,0.348,0.346,0.487,0.353,0.343,0.35,8CHL
0.328,0.358,0.361,0.367,0.365,0.369,0.357,0.353,8CHL
0.336,0.343,0.338,0.338,0.346,0.337,0.338,0.363,8CHL
0.334,0.349,0.343,0.351,0.365,0.356,0.348,0.351,8CHL
0.34,0.368,0.354,0.353,0.361,0.351,0.354,0.361,8CHL
0.339,0.338,0.34,0.336,0.342,0.324,0.335,0.336,MNL
0.338,0.334,0.34,0.333,0.333,0.337,0.333,0.331,MNL
0.336,0.344,0.336,0.33,0.337,0.333,0.332,0.335,MNL
0.339,0.341,0.339,0.328,0.31,0.327,0.336,0.336,MNL
0.327,0.319,0.332,0.331,0.334,0.334,0.319,0.331,MNL
0.338,0.339,0.347,0.339,0.34,0.339,0.334,0.335,MNL
0.335,0.342,0.344,0.337,0.331,0.328,0.318,0.337,MNL
0.35,0.345,0.343,0.338,0.352,0.337,0.337,0.344,MNL
0.351,0.334,0.336,0.337,0.342,0.329,0.338,0.334,MNL
0.342,0.337,0.326,0.335,0.338,0.332,0.339,0.338,MNL
0.335,0.332,0.333,0.336,0.339,0.339,0.328,0.335,MNL
0.335,0.338,0.344,0.334,0.336,0.336,0.33,0.344,MNL
0.314,0.332,0.333,0.309,0.331,0.3,0.325,0.316,MNL
0.333,0.335,0.33,0.332,0.324,0.322,0.334,0.333,MNL
0.324,0.347,0.327,0.315,0.322,0.328,0.334,0.335,MNL
0.33,0.348,0.334,0.332,0.333,0.33,0.326,0.331,MNL
0.324,0.327,0.304,0.33,0.342,0.339,0.337,0.33,MNL
0.329,0.334,0.338,0.343,0.341,0.343,0.343,0.318,MNL
0.327,0.332,0.338,0.338,0.349,0.34,0.363,0.342,MNL
0.334,0.334,0.345,0.349,0.345,0.34,0.346,0.342,MNL
0.331,0.34,0.317,0.336,0.323,0.34,0.347,0.348,MNL
0.323,0.341,0.332,0.318,0.341,0.339,0.341,0.34,MNL
0.325,0.33,0.333,0.336,0.331,0.333,0.316,0.32,MNL
0.327,0.333,0.35,0.345,0.35,0.345,0.332,0.335,MNL
0.348,0.338,0.352,0.344,0.351,0.346,0.344,0.34,96CR
0.34,0.338,0.354,0.343,0.351,0.367,0.348,0.354,96CR
0.337,0.342,0.348,0.367,0.346,0.354,0.348,0.332,96CR
0.341,0.345,0.34,0.346,0.414,0.354,0.35,0.334,96CR
0.341,0.342,0.353,0.355,0.345,0.359,0.361,0.347,96CR
0.341,0.342,0.34,0.338,0.346,0.347,0.355,0.334,96CR
0.339,0.338,0.343,0.348,0.351,0.346,0.351,0.336,96CR
0.351,0.347,0.357,0.365,0.361,0.353,0.352,0.352,96CR
0.356,0.354,0.36,0.354,0.356,0.36,0.355,0.324,96CR
0.35,0.352,0.359,0.357,0.357,0.358,0.348,0.345,96CR
0.35,0.353,0.357,0.361,0.358,0.354,0.351,0.323,96CR
0.353,0.353,0.359,0.356,0.357,0.358,0.36,0.323,96CR
0.349,0.36,0.355,0.356,0.359,0.353,0.326,0.321,96CR
0.349,0.355,0.353,0.356,0.357,0.357,0.352,0.351,96CR
0.345,0.353,0.351,0.359,0.355,0.351,0.348,0.349,96CR
0.351,0.352,0.359,0.354,0.358,0.353,0.354,0.333,96CR
0.363,0.364,0.358,0.361,0.362,0.353,0.319,0.313,96CR
0.36,0.361,0.363,0.361,0.359,0.363,0.363,0.309,96CR
0.36,0.36,0.361,0.366,0.361,0.363,0.361,0.275,96CR
0.36,0.366,0.359,0.365,0.361,0.36,0.36,0.337,96CR
0.358,0.353,0.354,0.364,0.354,0.358,0.356,0.357,96CR
0.353,0.353,0.357,0.356,0.358,0.36,0.36,0.365,96CR
0.358,0.357,0.357,0.358,0.362,0.358,0.358,0.339,96CR
0.353,0.355,0.36,0.364,0.363,0.353,0.36,0.364,96CR
