ROW,1,2,3,4,5,6,7,8,9,10,11,12,METHOD,PLATE
A,,0.076,0.099,0.194,0.367,0.808,1.874,3.644,0.366,0.057,2.854,OVRFLW,MANUAL,1
B,,0.076,0.098,0.179,0.358,0.806,1.83,3.546,2.665,0.058,0.057,0.057,MANUAL,1
C,,0.058,0.069,0.108,0.205,0.429,0.964,1.877,OVRFLW,0.063,1.768,0.31,MANUAL,1
D,,0.061,0.072,0.117,0.23,0.455,0.927,1.891,0.069,0.061,0.067,2.628,MANUAL,1
E,,0.05,0.057,0.075,0.128,0.25,0.529,1.692,0.314,0.06,0.04,2.906,MANUAL,1
F,,0.049,0.054,0.076,0.126,0.246,0.518,1.676,2.627,0.056,2.915,0.072,MANUAL,1
G,,0.048,0.051,0.063,0.102,0.158,0.264,1.516,2.14,0.057,0.042,0.286,MANUAL,1
H,,0.045,0.047,0.059,0.081,0.142,0.285,1.502,0.056,0.059,2.905,2.723,MANUAL,1
A,,0.067,0.104,0.186,0.388,0.843,1.968,3.634,0.441,0.061,3.476,OVRFLW,ROBOT,1
B,,0.066,0.102,0.184,0.384,0.861,1.966,3.56,3.189,0.059,0.063,0.065,ROBOT,1
C,,0.054,0.071,0.115,0.215,0.452,1.01,1.831,OVRFLW,0.065,2.495,0.377,ROBOT,1
D,,0.055,0.077,0.127,0.252,0.519,1.059,1.629,0.059,0.064,0.061,3.212,ROBOT,1
E,,0.047,0.055,0.077,0.125,0.248,0.533,1.605,0.383,0.065,0.201,3.523,ROBOT,1
F,,0.049,0.057,0.079,0.133,0.258,0.573,1.579,3.129,0.063,3.273,0.061,ROBOT,1
G,,0.045,0.051,0.066,0.103,0.189,0.389,1.445,2.933,0.07,0.171,0.377,ROBOT,1
H,,0.047,0.055,0.074,0.117,0.224,0.472,1.408,0.063,0.057,3.331,3.191,ROBOT,1
A,,0.079,0.102,0.188,0.384,0.837,1.88,3.723,0.371,OVRFLW,2.933,0.06,MANUAL,2
B,,0.08,0.104,0.188,0.384,0.843,1.828,3.735,2.713,0.058,0.062,0.07,MANUAL,2
C,,0.059,0.073,0.112,0.208,0.436,0.933,1.857,OVRFLW,0.32,1.94,0.069,MANUAL,2
D,,0.063,0.073,0.116,0.212,0.436,0.958,1.849,0.061,2.707,0.063,0.063,MANUAL,2
E,,0.05,0.056,0.077,0.127,0.238,0.497,1.559,0.317,2.92,0.184,0.059,MANUAL,2
F,,0.051,0.056,0.08,0.127,0.251,0.504,1.618,2.707,0.064,2.826,0.062,MANUAL,2
G,,0.048,0.05,0.059,0.084,0.145,0.28,1.526,2.191,0.321,0.186,0.058,MANUAL,2
H,,0.049,0.05,0.071,0.093,0.159,0.345,1.453,0.061,2.758,2.818,0.061,MANUAL,2
A,,0.065,0.1,0.172,0.377,0.819,1.989,3.622,0.442,OVRFLW,3.48,0.058,ROBOT,2
B,,0.067,0.099,0.182,0.378,0.838,1.997,3.486,3.209,0.058,0.059,0.07,ROBOT,2
C,,0.057,0.068,0.109,0.203,0.436,1.032,1.793,OVRFLW,0.373,2.611,0.06,ROBOT,2
D,,0.053,0.076,0.114,0.216,0.45,1.017,1.839,0.134,3.134,0.061,0.061,ROBOT,2
E,,0.047,0.062,0.078,0.13,0.253,0.541,1.577,0.371,3.5,0.242,0.059,ROBOT,2
F,,0.048,0.056,0.082,0.135,0.268,0.594,1.542,3.139,0.064,3.282,0.061,ROBOT,2
G,,0.046,0.053,0.068,0.107,0.198,0.423,1.423,2.884,0.379,0.194,0.057,ROBOT,2
H,,0.047,0.056,0.075,0.122,0.223,0.463,1.438,0.057,3.229,3.284,0.06,ROBOT,2
