"","MEAN.MANUAL","MIN.MANUAL","MAX.MANUAL","SD.MANUAL","CV.MANUAL","MEAN.ROBOT","MIN.ROBOT","MAX.ROBOT","SD.ROBOT","CV.ROBOT","PCT.DIFF","F_TEST","GT_A_FT","WILCOXON_TEST","GT_A_WX","T_TEST","GT_A_TT","CONC"
"1","7.99e-02","7.30e-02","9.30e-02","6.47e-03","8.10e-02","8.31e-02","6.50e-02","1.22e-01","2.06e-02","2.48e-01","8.138%","6.69e-03",FALSE,"6.36e-01",TRUE,"6.77e-01",TRUE,"30ng"
"2","1.24e-01","1.02e-01","1.59e-01","1.99e-02","1.61e-01","1.39e-01","9.90e-02","2.23e-01","4.67e-02","3.37e-01","23.387%","3.87e-02",FALSE,"9.58e-01",TRUE,"4.33e-01",TRUE,"60ng"
"3","2.39e-01","1.88e-01","3.45e-01","5.34e-02","2.24e-01","2.73e-01","1.72e-01","4.63e-01","1.11e-01","4.06e-01","28.272%","7.36e-02",TRUE,"8.75e-01",TRUE,"4.50e-01",TRUE,"125ng"
"4","8.40e-01","3.84e-01","1.94e+00","6.15e-01","7.33e-01","9.16e-01","3.77e-01","2.61e+00","7.64e-01","8.34e-01","18.201%","5.54e-01",TRUE,"1.00e+00",TRUE,"8.18e-01",TRUE,"250ng"
"5","1.28e+00","8.37e-01","2.19e+00","5.22e-01","4.09e-01","1.39e+00","8.19e-01","2.88e+00","7.29e-01","5.26e-01","17.228%","4.36e-01",TRUE,"1.00e+00",TRUE,"7.51e-01",TRUE,"500ng"
"6","2.47e+00","1.83e+00","2.92e+00","4.60e-01","1.86e-01","2.81e+00","1.63e+00","3.52e+00","7.24e-01","2.58e-01","27.095%","1.48e-01",TRUE,"5.97e-02",TRUE,"1.89e-01",TRUE,"1000ng_1"
"7","2.48e+00","1.83e+00","2.93e+00","4.71e-01","1.90e-01","2.82e+00","1.79e+00","3.50e+00","6.90e-01","2.44e-01","27.38%","2.21e-01",TRUE,"6.05e-02",TRUE,"1.72e-01",TRUE,"1000ng_2"
"8","3.80e+00","3.55e+00","4.00e+00","2.37e-01","6.25e-02","3.80e+00","3.56e+00","4.00e+00","2.35e-01","6.18e-02","0.053%","9.86e-01",TRUE,"1.00e+00",TRUE,"9.95e-01",TRUE,"2000ng_1"
"9","3.86e+00","3.72e+00","4.00e+00","1.57e-01","4.05e-02","3.78e+00","3.49e+00","4.00e+00","2.63e-01","6.97e-02","4.528%","4.15e-01",TRUE,"6.45e-01",TRUE,"5.89e-01",TRUE,"2000ng_2"
"10","3.71e-01","3.71e-01","3.71e-01"," NA"," NA","4.42e-01","4.42e-01","4.42e-01"," NA"," NA","38.275%",NA,NA,"1.00e+00",TRUE,NA,NA,"62.5ng"
"11","1.48e-01","5.80e-02","3.17e-01","1.46e-01","9.90e-01","1.63e-01","5.70e-02","3.71e-01","1.80e-01","1.11e+00","19.82%","7.94e-01",TRUE,"1.00e+00",TRUE,"9.18e-01",TRUE,"31.25ng"
"12","1.84e-01","1.84e-01","1.84e-01"," NA"," NA","2.42e-01","2.42e-01","2.42e-01"," NA"," NA","63.043%",NA,NA,"1.00e+00",TRUE,NA,NA,"15.625ng"
"13","1.86e-01","1.86e-01","1.86e-01"," NA"," NA","1.94e-01","1.94e-01","1.94e-01"," NA"," NA","8.602%",NA,NA,"1.00e+00",TRUE,NA,NA,"7.8125ng"
